"","TARGET","ADJ","sentiment","n"
"1","ignorant","stupid",-0.50517,256
"2","ignorant","minded",0.11842,107
"3","ignorant","naive",-0.20741,106
"4","ignorant","dumb",-0.69744,104
"5","ignorant","selfish",-0.45258,86
"6","ignorant","arrogant",-0.6435,72
"7","ignorant","uneducated",-0.51579,69
"8","ignorant","sighted",0,59
"9","ignorant","wrong",-0.4196,57
"10","ignorant","young",0.32279,51
"11","ignorant","racist",-0.74158,48
"12","ignorant","uninformed",0.0403,37
"13","ignorant","lazy",0,34
"14","ignorant","rude",-0.71127,33
"15","ignorant","blind",-0.60047,30
"16","ignorant","hateful",-0.76927,24
"17","ignorant","disrespectful",-0.5229,23
"18","ignorant","dismissive",-0.35161,22
"19","ignorant","poor",-0.33378,20
"20","ignorant","delusional",0,19
"21","ignorant","immature",-0.50294,19
"22","ignorant","unaware",-0.32814,19
"23","ignorant","innocent",0.36766,18
"24","ignorant","entitled",0,17
"25","ignorant","privileged",0.14091,17
"26","ignorant","scared",-0.5618,17
"27","ignorant","absurd",-0.14641,16
"28","ignorant","disgusting",-0.66804,16
"29","ignorant","foolish",-0.46839,16
"30","ignorant","happy",0.84599,16
"31","ignorant","ridiculous",-0.31108,14
"32","ignorant","sad",-0.75714,14
"33","ignorant","sheltered",0.11441,14
"34","ignorant","silly",0.40929,14
"35","ignorant","weak",-0.51189,14
"36","ignorant","afraid",-0.66386,13
"37","ignorant","deaf",-0.40365,13
"38","ignorant","incorrect",-0.50243,13
"39","ignorant","fearful",-0.56808,12
"40","ignorant","gullible",-0.1834,12
"41","ignorant","informed",0.17826,12
"42","ignorant","righteous",0.24874,12
"43","ignorant","stubborn",-0.33323,12
"44","ignorant","cruel",-0.56357,11
"45","ignorant","idiotic",-0.47616,11
"46","ignorant","insensitive",-0.40585,11
"47","ignorant","old",-0.45615,11
"48","ignorant","petty",-0.15254,11
"49","ignorant","toxic",-0.69862,11
"50","ignorant","insecure",-0.67771,10
"51","unaware","ignorant",-0.45899,140
"52","unaware","young",0.32279,130
"53","unaware","stupid",-0.50517,90
"54","unaware","dumb",-0.69744,69
"55","unaware","asleep",0.41532,63
"56","unaware","naive",-0.20741,63
"57","unaware","new",0.62681,57
"58","unaware","aware",0.45985,51
"59","unaware","unskilled",-0.38901,46
"60","unaware","confused",-0.45179,40
"61","unaware","innocent",0.36766,40
"62","unaware","unconscious",-0.27508,37
"63","unaware","uneducated",-0.51579,36
"64","unaware","asymptomatic",-0.1874,35
"65","unaware","happy",0.84599,35
"66","unaware","old",-0.45615,32
"67","unaware","blind",-0.60047,30
"68","unaware","selfish",-0.45258,29
"69","unaware","oblivious",-0.14557,27
"70","unaware","minded",0.11842,26
"71","unaware","incompetent",-0.59424,25
"72","unaware","dead",-0.72055,24
"73","unaware","drunk",0,22
"74","unaware","stationary",0.09705,22
"75","unaware","surprised",0.44736,21
"76","unaware","delusional",0,20
"77","unaware","unprepared",-0.46082,20
"78","unaware","uninformed",0.0403,18
"79","unaware","wrong",-0.4196,17
"80","unaware","insensitive",-0.40585,16
"81","unaware","alive",0.39626,15
"82","unaware","alone",-0.23905,14
"83","unaware","distracted",-0.19821,14
"84","unaware","immature",-0.50294,14
"85","unaware","privileged",0.14091,14
"86","unaware","clueless",-0.36335,13
"87","unaware","inexperienced",-0.41718,12
"88","unaware","arrogant",-0.6435,11
"89","unaware","dark",0.05278,11
"90","unaware","dense",-0.13256,11
"91","unaware","racist",-0.74158,11
"92","unaware","clumsy",-0.23287,10
"93","unaware","involved",0.10722,10
"94","unaware","complacent",-0.12623,9
"95","unaware","discrete",0,9
"96","unaware","rude",-0.71127,9
"97","unaware","undiagnosed",-0.0611,9
"98","unaware","unwise",-0.27945,9
"99","unaware","careless",-0.3266,8
"100","unaware","deaf",-0.40365,8
